filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
median_filter;gaussian;0_5;1;807,6276;1655,606;1080,9612;1268,6363;958,6776;1448,153;1350,6763;1308,4326;1419,6412;1489,8758;1549,0052;1384,4908;1367,4771;1352,2871
median_filter;gaussian;0_5;2;574,3494;822,0619;687,022;824,8622;651,2805;855,4227;867,4951;846,4439;779,4537;768,8486;765,117;760,575;792,7721;795,4061
median_filter;gaussian;0_5;3;180,4315;310,5006;204,8844;279,6436;222,2158;375,1535;402,9257;370,6353;314,7743;316,2534;305,946;331,3983;351,8779;361,6841
median_filter;gaussian;0_5;4;213,1399;201,7241;157,0328;248,7981;231,0616;346,8564;406,5567;384,8327;259,7806;246,5515;225,2135;286,4096;339,2985;351,919
median_filter;gaussian;0_5;5;141,4149;126,9052;88,1697;164,9888;174,8964;297,4016;362,2816;347,498;198,9186;190,5246;164,2944;238,0425;296,333;312,7935
median_filter;gaussian;0_5;6;195,3921;99,3736;78,3623;191,0202;210,6708;320,6816;401,6597;386,2885;203,4641;182,548;149,9768;242,5347;323,1531;338,645
median_filter;gaussian;0_5;7;175,9224;77,5057;57,1992;175,3949;198,6288;323,6869;407,6114;393,0111;192,0335;172,0328;134,9636;237,0236;327,4753;343,3039
median_filter;gaussian;0_5;8;233,1738;68,2405;56,7112;220,2691;235,1328;352,8138;445,5976;428,7074;208,5668;175,268;134,2856;247,9147;356,266;369,5812
median_filter;gaussian;0_5;9;235,2144;59,9107;49,1385;234,9511;237,505;367,7268;462,4715;444,1362;211,8251;175,2129;130,9893;251,8033;370,5016;382,8959
median_filter;gaussian;0_5;10;291,1659;56,4064;52,4807;287,7181;272,9761;394,1437;494,7058;474,7012;231,4303;180,2732;134,2883;262,0507;394,8949;405,4364
median_filter;gaussian;0_9;1;4033,1873;6397,9964;5169,18;5607,1907;4541,1187;5783,2111;5476,1939;5411,7179;5748,727;5942,8049;6230,7323;5752,1717;5740,8804;5717,9632
median_filter;gaussian;0_9;2;2678,9991;3587,3187;3700,2941;4169,3346;3031,881;3922,7741;3571,1572;3670,3646;3843,0565;3892,5824;3640,6091;3516,824;3432,9061;3469,7805
median_filter;gaussian;0_9;3;841,8342;1611,2186;1041,7294;1282,2947;978,1803;1542,7121;1490,9495;1423,8043;1446,2814;1506,0847;1547,7143;1447,7839;1451,8764;1455,8842
median_filter;gaussian;0_9;4;691,042;1044,9854;794,6026;1007,9082;780,0568;1110,5568;1112,8655;1092,5757;1004,6121;997,7772;999,9853;984,96;1019,4552;1034,7254
median_filter;gaussian;0_9;5;424,7176;655,6682;419,1117;594,6307;483,3654;770,4989;809,8625;795,9772;654,7225;651,2651;640,1624;667,7738;714,0058;736,6273
median_filter;gaussian;0_9;6;423,8374;489,3382;351,6832;542,397;458,63;667,4658;725,0564;716,8721;538,3959;512,9334;495,2483;553,2124;624,7622;645,6663
median_filter;gaussian;0_9;7;356,1808;357,0307;235,9928;422,4639;375,6749;577,6373;648,4228;639,6751;435,4103;411,1135;382,733;461,9908;547,3235;566,8113
median_filter;gaussian;0_9;8;387,4251;287,8775;210,8691;434,8777;387,2436;553,9182;633,5183;622,8288;401,8215;361,3824;328,6889;423,8868;528,2947;543,6132
median_filter;gaussian;0_9;9;375,1534;229,416;163,3387;404,1567;363,6291;526,8494;614,1032;601,1971;365,6284;320,9044;282,2142;388,6641;506,9475;520,6609
median_filter;gaussian;0_9;10;415,0514;196,0756;153,0585;443,9045;385,8803;526,4708;618,6059;603,87;360,197;299,5707;258,7925;374,7214;507,7074;518,4043
ca_median;salt_pepper;0_5;1;4264,9243;1214,1153;1295,4584;1360,3742;3389,8269;1076,1307;1176,4273;1163,8573;959,4501;878,4084;809,6037;928,9065;984,2558;997,1374
ca_median;salt_pepper;0_5;2;1543,3843;256,8093;200,8706;413,8588;1168,247;304,1803;380,1471;363,5741;208,6205;186,376;155,6628;239,6704;302,2172;314,9932
ca_median;salt_pepper;0_5;3;918,2014;137,217;103,0685;335,1547;696,2246;267,2947;346,1344;324,3355;161,4324;145,6157;113,0348;203,7265;270,7118;285,907
ca_median;salt_pepper;0_5;4;690,4283;105,0157;89,1743;324,0674;529,3414;264,4971;345,3249;325,8748;156,8463;142,1065;108,8987;202,1589;271,3532;286,7449
ca_median;salt_pepper;0_5;5;586,4438;92,2243;85,7783;324,9351;452,1256;277,0041;362,1905;339,6616;160,7326;146,7416;110,8123;209,7896;283,8439;300,274
ca_median;salt_pepper;0_5;6;530,5885;85,2762;85,214;329,0594;408,9897;286,1476;374,9352;351,3082;165,1357;151,0409;113,0872;216,197;294,2724;310,8984
ca_median;salt_pepper;0_5;7;497,8124;81,1936;85,413;334,9961;384,2601;298,4369;390,9545;364,3504;170,6352;156,1424;115,8875;223,4507;306,5496;323,4066
ca_median;salt_pepper;0_5;8;478,7924;78,4028;86,105;341,1211;368,9124;308,0354;403,6606;375,5134;175,711;160,4409;118,3225;229,44;316,6527;333,5734
ca_median;salt_pepper;0_5;9;468,9847;77,0649;86,9486;347,3525;360,188;318,7986;417,4652;386,7244;181,1311;164,8406;120,814;235,4804;327,1203;344,286
ca_median;salt_pepper;0_5;10;464,5126;76,0134;87,8149;354,4989;354,9804;327,4908;428,704;396,6733;186,2313;168,5892;123,0119;240,5915;335,9181;353,2724
ca_median;salt_pepper;0_05;1;164,4296;18,2706;12,2681;42,9106;139,0573;143,0471;204,1632;158,8286;69,9656;72,7443;51,8351;117,3716;143,0709;160,675
ca_median;salt_pepper;0_05;2;117,1617;11,4685;11,575;47,4567;90,7594;136,469;197,3677;167,6165;68,2546;69,6725;50,8529;113,857;146,117;161,4985
ca_median;salt_pepper;0_05;3;141,2489;12,8969;12,8059;56,2694;106,1793;171,8356;245,4984;207,4501;83,3141;85,0837;59,8855;138,1719;180,5893;199,2692
ca_median;salt_pepper;0_05;4;158,6261;13,9613;14,0133;64,3985;115,6476;186,2107;266,1018;229,4908;91,2567;92,6468;64,7838;149,45;197,7703;216,9161
ca_median;salt_pepper;0_05;5;175,6436;15,0358;15,3091;72,6562;125,3822;208,5047;294,794;253,9565;101,2488;101,7552;70,1701;162,8782;219,2205;239,5392
